timestamp_ms,cycleCount,tempC,currentA,accX_g,accY_g,accZ_g,alertMsg
0,1,25.0,0.65,0.27,0.28,10.0,
1000,1,25.8,0.57,0.29,0.06,9.82,
2000,1,26.59,0.65,-0.23,-0.26,9.92,
3000,1,27.36,0.69,0.1,-0.18,9.68,
4000,1,28.12,0.68,0.1,0.06,9.76,
5000,2,28.84,0.38,0.16,-0.1,9.85,
6000,2,29.52,0.64,0.13,-0.1,9.93,
7000,2,30.15,0.48,-0.15,0.1,9.69,Alerta: Temperatura alta!
8000,2,30.74,0.64,0.19,0.04,9.95,Alerta: Temperatura alta!
9000,2,31.27,0.67,0.17,0.02,9.79,Alerta: Temperatura alta!
10000,3,31.73,0.42,0.07,-0.05,10.03,Alerta: Temperatura alta!
11000,3,32.13,0.72,0.25,0.06,9.81,Alerta: Temperatura alta!
12000,3,32.46,0.42,0.1,0.04,10.08,Alerta: Temperatura alta!
13000,3,32.71,0.39,0.14,0.21,9.78,Alerta: Temperatura alta!
14000,3,32.88,0.46,-0.01,0.25,9.62,Alerta: Temperatura alta!
15000,4,32.98,0.25,0.16,0.16,9.61,Alerta: Temperatura alta!
16000,4,33.0,0.45,0.08,-0.18,9.86,Alerta: Temperatura alta!
17000,4,32.93,0.3,0.04,0.23,9.83,Alerta: Temperatura alta!
18000,4,32.79,0.56,0.09,-0.06,10.05,Alerta: Temperatura alta!
19000,4,32.57,0.54,-0.03,-0.11,9.61,Alerta: Temperatura alta!
20000,5,32.27,0.72,-0.24,0.23,9.67,Alerta: Temperatura alta!
21000,5,31.91,0.72,0.26,0.29,9.97,Alerta: Temperatura alta!
22000,5,31.47,0.51,-0.22,-0.04,9.67,Alerta: Temperatura alta!
23000,5,30.97,0.45,0.27,-0.15,9.6,Alerta: Temperatura alta!
24000,5,30.4,0.73,-0.05,-0.12,10.01,Alerta: Temperatura alta!
25000,6,29.79,0.45,0.26,-0.18,9.87,
26000,6,29.12,0.47,-0.11,0.04,9.79,
27000,6,28.42,0.25,-0.06,-0.1,10.07,
28000,6,27.68,0.36,0.06,0.2,9.65,
29000,6,26.91,0.34,-0.3,0.29,10.06,
30000,7,26.13,0.39,-0.15,0.06,9.53,
31000,7,25.33,0.39,0.03,-0.01,9.6,
32000,7,24.53,0.37,0.07,-0.27,10.1,
33000,7,23.74,0.4,0.09,0.23,9.88,
34000,7,22.96,0.69,0.14,-0.12,9.88,
35000,8,22.19,0.43,0.21,-0.2,9.75,
36000,8,21.46,0.3,0.16,0.19,10.06,
37000,8,20.76,0.37,-0.16,-0.25,9.79,
38000,8,20.11,0.29,-0.19,-0.11,9.52,
39000,8,19.5,0.39,0.22,-0.29,9.83,
40000,9,18.95,0.44,-0.16,0.24,9.67,
41000,9,18.45,0.65,0.19,-0.14,10.08,
42000,9,18.03,0.46,-0.01,-0.11,9.86,
43000,9,17.67,0.61,0.13,-0.08,9.62,
44000,9,17.39,0.28,-0.1,0.25,10.09,
45000,10,17.18,0.6,0.05,-0.11,9.69,
46000,10,17.05,0.34,-0.2,0.04,9.68,
47000,10,17.0,0.51,0.23,0.02,9.7,
48000,10,17.03,0.36,0.01,0.18,9.81,
49000,10,17.14,0.68,-0.05,0.09,9.87,
50000,11,17.33,0.64,-0.11,0.06,9.97,
51000,11,17.59,0.74,-0.02,-0.1,9.67,
52000,11,17.93,0.75,-0.15,-0.22,9.62,
53000,11,18.34,0.27,0.11,-0.29,9.92,
54000,11,18.82,0.62,0.15,-0.05,9.78,
55000,12,19.36,0.68,-0.13,0.2,9.98,
56000,12,19.95,0.47,0.26,0.2,9.71,
57000,12,20.59,0.33,0.23,-0.26,10.08,
58000,12,21.28,0.71,0.3,0.17,9.91,
59000,12,22.01,0.37,-0.12,-0.23,9.93,
60000,13,22.76,0.72,0.23,0.06,9.61,
61000,13,23.54,0.27,0.01,0.29,9.65,
62000,13,24.34,0.27,0.02,0.16,9.59,
63000,13,25.13,0.71,0.14,-0.29,9.97,
64000,13,25.93,0.51,0.01,-0.2,10.07,
65000,14,26.72,0.45,-0.01,0.28,9.82,
66000,14,27.49,0.35,0.27,-0.28,9.93,
67000,14,28.24,0.67,0.15,-0.1,9.75,
68000,14,28.95,0.5,-0.25,0.13,9.57,
69000,14,29.63,0.42,-0.15,0.01,9.7,
70000,15,30.26,0.34,-0.04,-0.21,9.69,Alerta: Temperatura alta!
71000,15,30.83,0.63,-0.21,0.19,10.08,Alerta: Temperatura alta!
72000,15,31.35,0.42,-0.02,-0.2,9.91,Alerta: Temperatura alta!
73000,15,31.8,0.74,0.23,-0.29,10.06,Alerta: Temperatura alta!
74000,15,32.19,0.41,-0.04,0.04,9.75,Alerta: Temperatura alta!
75000,16,32.5,0.32,0.3,-0.16,9.93,Alerta: Temperatura alta!
76000,16,32.74,0.45,-0.04,-0.23,10.08,Alerta: Temperatura alta!
77000,16,32.91,0.64,-0.01,-0.26,9.55,Alerta: Temperatura alta!
78000,16,32.99,0.7,0.14,0.11,10.02,Alerta: Temperatura alta!
79000,16,32.99,0.61,0.06,-0.02,9.78,Alerta: Temperatura alta!
80000,17,32.91,0.52,0.29,0.11,9.9,Alerta: Temperatura alta!
81000,17,32.76,0.25,-0.21,0.07,9.58,Alerta: Temperatura alta!
82000,17,32.53,0.38,0.13,-0.13,9.69,Alerta: Temperatura alta!
83000,17,32.22,0.27,-0.26,0.23,9.64,Alerta: Temperatura alta!
84000,17,31.84,0.66,-0.24,0.09,9.68,Alerta: Temperatura alta!
85000,18,31.39,0.68,0.18,0.17,9.65,Alerta: Temperatura alta!
86000,18,30.88,0.28,-0.29,0.14,9.95,Alerta: Temperatura alta!
87000,18,30.3,0.56,-0.12,0.01,9.79,Alerta: Temperatura alta!
88000,18,29.68,0.75,-0.23,-0.01,10.09,
89000,18,29.01,0.74,0.12,0.19,10.02,
90000,19,28.3,0.31,0.03,0.23,10.05,
91000,19,27.55,0.36,0.11,0.26,9.57,
92000,19,26.78,0.33,0.14,-0.19,9.87,
93000,19,26.0,0.55,0.15,-0.18,10.07,
94000,19,25.2,0.64,0.22,0.2,9.87,
95000,20,24.4,0.68,-0.06,-0.27,9.85,
96000,20,23.61,0.73,-0.2,-0.01,9.55,
97000,20,22.83,0.59,-0.28,0.12,9.92,
98000,20,22.07,0.35,0.13,-0.13,9.76,
99000,20,21.34,0.33,0.03,-0.11,10.05,
100000,21,20.65,0.48,0.09,-0.23,9.57,
101000,21,20.0,0.42,-0.28,-0.28,9.65,
102000,21,19.4,0.55,-0.14,0.19,10.06,
103000,21,18.86,0.34,0.26,0.18,9.8,
104000,21,18.38,0.56,0.22,-0.02,9.85,
105000,22,17.96,0.75,0.13,-0.04,9.85,
106000,22,17.62,0.65,-0.28,-0.06,10.05,
107000,22,17.35,0.38,0.1,0.25,9.99,
108000,22,17.15,0.55,0.12,-0.1,9.95,
109000,22,17.04,0.41,-0.29,-0.26,9.92,
110000,23,17.0,0.34,0.19,0.23,9.96,
111000,23,17.04,0.71,-0.26,0.03,9.57,
112000,23,17.17,0.45,-0.18,0.22,9.75,
113000,23,17.37,0.43,-0.23,-0.28,10.09,
114000,23,17.65,0.51,-0.02,-0.21,9.64,
115000,24,18.0,0.37,0.29,-0.17,9.8,
116000,24,18.42,0.67,-0.07,0.03,10.05,
117000,24,18.9,0.61,0.01,-0.23,9.86,
118000,24,19.45,0.28,-0.03,-0.1,9.84,
119000,24,20.05,0.63,0.04,-0.28,9.98,
120000,25,20.71,0.62,0.06,0.29,9.94,
121000,25,21.4,0.32,0.24,0.1,9.66,
122000,25,22.13,0.58,0.18,-0.23,9.56,
123000,25,22.89,0.29,0.22,-0.18,9.6,
124000,25,23.68,0.43,0.08,-0.05,9.69,
125000,26,24.47,0.75,-0.0,0.16,9.54,
126000,26,25.27,0.61,-0.06,0.06,9.91,
127000,26,26.07,0.3,0.1,-0.1,9.89,
128000,26,26.85,0.26,0.1,0.04,9.87,
